0	0.108845
1	0.079269
2	0.080307
0	0.102234
1	0.091905
2	0.093717
0	0.107670
1	0.093765
2	0.089394
0	0.110975
1	0.089125
2	0.089673
0	0.108795
1	0.092645
2	0.089776
0	0.102369
1	0.091704
2	0.090868
0	0.099015
1	0.089830
2	0.091885
0	0.097745
1	0.089842
2	0.089975
0	0.091462
1	0.079235
2	0.086465
0	0.090347
1	0.079139
2	0.079207
0	0.090357
1	0.084019
2	0.081003
0	0.106779
1	0.085007
2	0.079295
0	0.098714
1	0.087426
2	0.083098
0	0.138692
1	0.252575
2	0.110162
0	0.125300
1	0.243230
2	0.119196
0	0.101349
1	0.246924
2	0.143126
0	0.102386
1	0.223651
2	0.111507
0	0.097576
1	0.230849
2	0.107848
0	0.098937
1	0.223521
2	0.104015
0	0.094687
1	0.235916
2	0.112948
0	0.095731
1	0.226221
2	0.274084
0	0.099212
1	0.098021
2	0.092685
0	0.099760
1	0.097015
2	0.092938
0	0.098186
1	0.096230
2	0.094561
0	0.096836
1	0.094978
2	0.092809
0	0.098139
1	0.093435
2	0.094755
0	0.097939
1	0.096355
2	0.090686
0	0.102409
1	0.096896
2	0.094393
0	0.110465
1	0.090981
2	0.090528
0	0.105749
1	0.070132
2	0.070246
0	0.109575
1	0.069914
2	0.070334
0	0.104447
1	0.071130
2	0.071154
0	0.099482
1	0.065202
2	0.065932
0	0.111549
1	0.078599
2	0.081574
0	0.090710
1	0.164155
2	0.134972
0	0.096695
1	0.100053
2	0.100548
0	0.106932
1	0.096750
2	0.102411
0	0.114576
1	0.088259
2	0.126455
0	0.108017
1	0.088038
2	0.121534
0	0.107709
1	0.089485
2	0.115555
0	0.103243
1	0.093041
2	0.117557
0	0.097296
1	0.098581
2	0.098029
0	0.109887
1	0.100908
2	0.098123
0	0.091030
1	0.092169
2	0.095912
0	0.093141
1	0.098183
2	0.100063
0	0.106670
1	0.142485
2	0.119914
0	0.107384
1	0.144031
2	0.116097
0	0.128557
1	0.153636
2	0.122569
0	0.107235
1	0.142399
2	0.135126
0	0.106383
1	0.075598
2	0.068556
0	0.112719
1	0.076843
2	0.071288
0	0.111511
1	0.077860
2	0.068857
0	0.106358
1	0.078981
2	0.067931
0	0.107590
1	0.089279
2	0.094166
0	0.107575
1	0.127038
2	0.112513
0	0.108882
1	0.101644
2	0.088539
0	0.250463
1	0.228924
2	0.210490
0	0.249362
1	0.235711
2	0.243240
0	0.156659
1	0.130845
2	0.128310
0	0.157249
1	0.091055
2	0.090838
0	0.209096
1	0.093694
2	0.097150
0	0.152474
1	0.092166
2	0.091178
0	0.144418
1	0.147299
2	0.147006
0	0.125201
1	0.125941
2	0.127000
0	0.132432
1	0.123031
2	0.124000
0	0.129694
1	0.127843
2	0.127393
